메뉴,이진수 코드,코드,질문에 대한 답변
쭈꾸미볶음,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
낙지볶음,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
해물탕,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
아구찜,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
해물찜,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
낙곱새,"""1111""",yyyy,"고기o, 익은o, 매움o, 해산물o"
닭발,"""11101""",yyyny,"고기o, 익은o, 매움o, 해산물x, 닭o"
매운 치킨,"""11101""",yyyny,"고기o, 익은o, 매움o, 해산물x, 닭o"
닭볶음탕,"""11101""",yyyny,"고기o, 익은o, 매움o, 해산물x, 닭o"
양념곱창,"""11100""",yyynn,"고기o, 익은o, 매움o, 해산물x, 닭x"
등갈비,"""11100""",yyynn,"고기o, 익은o, 매움o, 해산물x, 닭x"
불족발,"""11100""",yyynn,"고기o, 익은o, 매움o, 해산물x, 닭x"
제육볶음,"""11100""",yyynn,"고기o, 익은o, 매움o, 해산물x, 닭x"
대하,"""1101""",yyny,"고기o, 익은o, 매움x, 해산물o"
조개탕,"""1101""",yyny,"고기o, 익은o, 매움x, 해산물o"
치킨,"""11001""",yynny,"고기o, 익은o, 매움x, 해산물x, 닭o"
백숙,"""11001""",yynny,"고기o, 익은o, 매움x, 해산물x, 닭o"
삼계탕,"""11001""",yynny,"고기o, 익은o, 매움x, 해산물x, 닭o"
돼지고기류,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
탕수육,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
족발,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
보쌈,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
돈까스,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
만두,"""110001""",yynnny,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지o"
오리고기,"""110000""",yynnnn,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지x"
소고기류,"""110000""",yynnnn,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지x"
스테이크,"""110000""",yynnnn,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지x"
불고기,"""110000""",yynnnn,"고기o, 익은o, 매움x, 해산물x, 닭x, 돼지x"
초밥,"""1011""",ynyy,"고기o, 익은x, 양 많음o, 밥o"
간장게장,"""1011""",ynyy,"고기o, 익은x, 양 많음o, 밥o"
회덮밥,"""1011""",ynyy,"고기o, 익은x, 양 많음o, 밥o"
삼합,"""1010""",ynyn,"고기o, 익은x, 양 많음o, 밥x"
회,"""1010""",ynyn,"고기o, 익은x, 양 많음o, 밥x"
육회,"""1010""",ynyn,"고기o, 익은x, 양 많음o, 밥x"
라면,"""0111""",nyyy,"고기x, 얼큰o, 매움o, 면o"
짬뽕,"""0111""",nyyy,"고기x, 얼큰o, 매움o, 면o"
육개장 칼국수,"""0111""",nyyy,"고기x, 얼큰o, 매움o, 면o"
부대찌개,"""0110""",nyyn,"고기x, 얼큰o, 매움o, 면x"
순두부찌개,"""0110""",nyyn,"고기x, 얼큰o, 매움o, 면x"
김치찌개,"""0110""",nyyn,"고기x, 얼큰o, 매움o, 면x"
매운 국밥류,"""0110""",nyyn,"고기x, 얼큰o, 매움o, 면x"
우동,"""0101""",nyny,"고기x, 얼큰o, 매움x, 면o"
라멘,"""0101""",nyny,"고기x, 얼큰o, 매움x, 면o"
쌀국수,"""0101""",nyny,"고기x, 얼큰o, 매움x, 면o"
칼국수,"""0101""",nyny,"고기x, 얼큰o, 매움x, 면o"
안 매운 국밥류,"""01001""",nynny,"고기x, 얼큰o, 매움x, 면x, 밥O"
된장찌개,"""00001""",nnnny,"고기x, 얼큰x, 매움x, 면x, 밥o"
만두국,"""01000""",nynnn,"고기x, 얼큰o, 매움x, 면x, 밥x"
수제비,"""01000""",nnyy,"고기x, 얼큰o, 매움x, 면x, 밥x"
비빔면,"""0011""",nnyny,"고기x, 얼큰x, 매움o, 면o"
비빔밥,"""00101""",nnyny,"고기x, 얼큰x, 매움o, 면x, 밥o"
커리,"""00101""",nnynn,"고기x, 얼큰x, 매움o, 면x, 밥o"
떡볶이,"""00100""",nnynn,"고기x, 얼큰x, 매움o, 면x, 밥x"
양장피,"""00100""",nnny,"고기x, 얼큰x, 매움o, 면x, 밥x"
짜장면,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
냉면,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
팟타이,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
파스타,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
냉면,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
냉모밀,"""0001""",nnny,"고기x, 얼큰x, 매움x, 면o"
김밥,"""00001""",nnnny,"고기x, 얼큰x, 매움x, 면x, 밥o"
주먹밥,"""00001""",nnnny,"고기x, 얼큰x, 매움x, 면x, 밥o"
컵밥,"""00001""",nnnny,"고기x, 얼큰x, 매움x, 면x, 밥o"
밥버거,"""00001""",nnnny,"고기x, 얼큰x, 매움x, 면x, 밥o"
전,"""00000""",nnnnn,"고기x, 얼큰x, 매움x, 면x, 밥x"
피자,"""00000""",nnnnn,"고기x, 얼큰x, 매움x, 면x, 밥x"
햄버거,"""00000""",nnnnn,"고기x, 얼큰x, 매움x, 면x, 밥x"
샌드위치,"""00000""",nnnnn,"고기x, 얼큰x, 매움x, 면x, 밥x"
